run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
359,7424.46934,9.23044,18.16841,0.785,0.1572,0.0578,0.1606,0.309,0.0384,0.3098,0.119,0.2516,0.0384,0.3098,7307.48455,8.10033,16.78656,0.7158,0.2542,0.03,0.255,0.5028,0.0202,0.1524,0.1932,0.413,0.0202,0.1524,1702.78915,10.12392,19.73655,0.8994,0.091,0.0096,0.0952,0.181,0.0074,0.0504,0.0754,0.1608,0.0074,0.0504,2457.46391,10.06699,19.3584,0.8932,0.0466,0.0602,0.0506,0.1042,0.0406,0.3256,0.0408,0.084,0.0406,0.3256
360,6821.38695,9.37273,18.38394,0.8096,0.1416,0.0488,0.1566,0.2774,0.0318,0.3426,0.113,0.2202,0.0318,0.3426,6685.01722,8.14582,16.9041,0.7284,0.248,0.0236,0.2524,0.4884,0.017,0.165,0.1958,0.4074,0.017,0.165,1545.2355,10.12554,19.74962,0.8976,0.094,0.0084,0.094,0.1906,0.007,0.0576,0.0792,0.1704,0.007,0.0576,2149.12947,10.11561,19.48509,0.9018,0.0474,0.0508,0.0532,0.1036,0.0328,0.3578,0.0404,0.086,0.0328,0.3578
361,8932.97908,9.36491,18.32166,0.7992,0.1402,0.0606,0.1424,0.2906,0.0492,0.3484,0.1046,0.23,0.0492,0.3484,7725.83165,8.25594,17.05336,0.7266,0.243,0.0304,0.228,0.4984,0.025,0.1766,0.1768,0.417,0.025,0.1766,1518.33524,10.16952,19.83995,0.8974,0.0908,0.0118,0.0862,0.1944,0.0106,0.0602,0.071,0.1712,0.0106,0.0602,2965.39135,10.05507,19.31885,0.8912,0.0462,0.0626,0.0498,0.1062,0.0508,0.3596,0.037,0.086,0.0508,0.3596
362,7034.3084,9.61594,18.75127,0.834,0.1214,0.0446,0.1332,0.2392,0.0414,0.3396,0.0974,0.1896,0.0414,0.3396,7038.99852,8.24716,17.15057,0.7446,0.233,0.0224,0.2316,0.481,0.0214,0.1636,0.1852,0.4078,0.0214,0.1636,1640.83195,10.16394,19.8502,0.909,0.0844,0.0066,0.0874,0.1774,0.0094,0.0542,0.0732,0.1608,0.0094,0.0542,2800.49692,10.20838,19.65661,0.9152,0.0388,0.046,0.0414,0.0928,0.0422,0.3502,0.0326,0.0766,0.0422,0.3502
363,6552.29668,9.34759,18.30412,0.8,0.138,0.062,0.148,0.3038,0.0288,0.3226,0.1072,0.2376,0.0288,0.3226,7405.1747,8.19992,17.05778,0.7296,0.2374,0.033,0.2394,0.524,0.0152,0.1664,0.1848,0.4318,0.0152,0.1664,870.31293,10.1607,19.78016,0.9054,0.0834,0.0112,0.0866,0.1874,0.0064,0.0546,0.0686,0.1676,0.0064,0.0546,3284.41378,10.08905,19.41094,0.8948,0.0406,0.0646,0.0486,0.1,0.0306,0.3384,0.0352,0.0824,0.0306,0.3384
364,7114.22393,9.41083,18.49254,0.8086,0.1178,0.0736,0.1524,0.2992,0.032,0.3312,0.1046,0.2386,0.032,0.3312,6863.03105,8.33927,17.34288,0.7528,0.21,0.0372,0.2454,0.5366,0.015,0.1676,0.1904,0.446,0.015,0.1676,1407.81855,10.17712,19.88231,0.908,0.077,0.015,0.0884,0.2008,0.006,0.059,0.0726,0.176,0.006,0.059,2579.19738,10.05626,19.34063,0.8874,0.0378,0.0748,0.0472,0.111,0.0332,0.3406,0.0358,0.0892,0.0332,0.3406
365,7422.43701,9.3769,18.40634,0.8032,0.1434,0.0534,0.1412,0.2928,0.0332,0.3238,0.101,0.231,0.0332,0.3238,6979.84389,8.21116,16.93587,0.7248,0.2484,0.0268,0.2216,0.5074,0.018,0.155,0.169,0.4214,0.018,0.155,1358.42287,10.1451,19.77404,0.9008,0.0906,0.0086,0.084,0.1898,0.008,0.0538,0.0698,0.1658,0.008,0.0538,2027.22507,10.11291,19.39864,0.9012,0.044,0.0548,0.043,0.1074,0.0342,0.335,0.0348,0.0878,0.0342,0.335
366,6373.65484,9.4742,18.36504,0.8092,0.1302,0.0606,0.1092,0.2804,0.0368,0.3302,0.0806,0.2188,0.0368,0.3302,6961.62643,8.24368,16.94044,0.7256,0.244,0.0304,0.1898,0.5346,0.0192,0.1602,0.1512,0.444,0.0192,0.1602,1608.95731,10.16654,19.79795,0.8986,0.09,0.0114,0.0696,0.206,0.0082,0.0584,0.0608,0.1834,0.0082,0.0584,2346.36505,10.13859,19.42425,0.895,0.0424,0.0626,0.0364,0.11,0.0384,0.3436,0.0302,0.0896,0.0384,0.3436
367,7739.9761,9.15147,17.92171,0.7712,0.162,0.0668,0.1646,0.3136,0.0262,0.3352,0.1184,0.243,0.0262,0.3352,7714.71862,8.09239,16.76243,0.7044,0.2608,0.0348,0.26,0.5064,0.0132,0.1686,0.1954,0.411,0.0132,0.1686,1454.91573,10.14556,19.77637,0.8952,0.0932,0.0116,0.0922,0.1892,0.0056,0.0536,0.0748,0.1646,0.0056,0.0536,3104.47776,10.02132,19.23885,0.8832,0.048,0.0688,0.0522,0.1042,0.028,0.3504,0.0408,0.0876,0.028,0.3504
368,8054.80019,9.13943,18.02341,0.7832,0.1468,0.07,0.166,0.3298,0.0236,0.3124,0.1194,0.253,0.0236,0.3124,7342.55858,8.20336,17.03171,0.7278,0.2354,0.0368,0.2594,0.5346,0.0116,0.1518,0.1948,0.4352,0.0116,0.1518,1698.3369,10.13885,19.74873,0.906,0.0822,0.0118,0.0876,0.1924,0.0044,0.0492,0.0718,0.1714,0.0044,0.0492,2697.38889,9.98528,19.17517,0.8858,0.041,0.0732,0.05,0.1092,0.025,0.3316,0.0398,0.0884,0.025,0.3316
