run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
223,7338.88917,9.25396,18.1752,0.7964,0.1444,0.0592,0.1608,0.271,0.0378,0.3156,0.1172,0.2216,0.0378,0.3156,7079.08381,8.16337,16.93582,0.721,0.2492,0.0298,0.259,0.4652,0.0194,0.1484,0.198,0.3936,0.0194,0.1484,980.44205,10.13997,19.73129,0.9002,0.0902,0.0096,0.0914,0.1764,0.008,0.054,0.0774,0.1564,0.008,0.054,2393.43836,10.06904,19.39692,0.8942,0.0438,0.062,0.0488,0.1002,0.0402,0.3326,0.0392,0.083,0.0402,0.3326
224,8027.12508,9.1814,18.03046,0.774,0.1564,0.0696,0.1542,0.314,0.0288,0.326,0.1102,0.2492,0.0288,0.326,6762.37178,8.19211,16.82472,0.7168,0.2472,0.036,0.231,0.5064,0.0132,0.1566,0.1756,0.4204,0.0132,0.1566,1603.6132,10.09183,19.58767,0.8886,0.0976,0.0138,0.091,0.2034,0.0056,0.0576,0.073,0.177,0.0056,0.0576,2465.82332,10.0155,19.20737,0.8748,0.0534,0.0718,0.0516,0.1234,0.0296,0.3382,0.0408,0.0996,0.0296,0.3382
225,9216.69965,8.98195,17.90692,0.7672,0.1892,0.0436,0.2266,0.372,0.0294,0.3368,0.1556,0.2916,0.0294,0.3368,8286.06056,8.0542,16.78205,0.708,0.2694,0.0226,0.3188,0.5162,0.0158,0.172,0.2216,0.4032,0.0158,0.172,1351.68833,10.14207,19.77695,0.9014,0.0912,0.0074,0.1018,0.1872,0.007,0.0602,0.0824,0.1576,0.007,0.0602,3403.40379,10.08946,19.42982,0.8946,0.058,0.0474,0.0662,0.1218,0.032,0.3714,0.0498,0.1028,0.032,0.3714
226,6741.76778,9.2722,18.33147,0.7956,0.1614,0.043,0.156,0.35,0.0288,0.3084,0.1094,0.2724,0.0288,0.3084,6550.53268,8.30639,17.18339,0.7354,0.2428,0.0218,0.2274,0.5396,0.016,0.1452,0.1732,0.4284,0.016,0.1452,1362.8386,10.15377,19.79151,0.903,0.09,0.007,0.0832,0.2048,0.0064,0.0516,0.067,0.177,0.0064,0.0516,2499.41696,10.09594,19.45277,0.9062,0.0488,0.045,0.0494,0.1208,0.0318,0.3314,0.0374,0.1004,0.0318,0.3314
227,7883.58687,9.26054,18.14754,0.7754,0.1656,0.059,0.1432,0.3346,0.0238,0.373,0.1048,0.2612,0.0238,0.373,7676.94294,8.16809,16.79038,0.7102,0.2604,0.0294,0.2272,0.5314,0.013,0.1848,0.1714,0.431,0.013,0.1848,1785.05861,10.11815,19.67354,0.8912,0.0974,0.0114,0.0842,0.1998,0.0064,0.0654,0.0674,0.1748,0.0064,0.0654,2945.15213,10.03929,19.24047,0.8842,0.0542,0.0616,0.0514,0.1186,0.0252,0.3916,0.0386,0.0952,0.0252,0.3916
228,7589.25296,9.16806,18.03023,0.7816,0.1764,0.042,0.1338,0.3802,0.0262,0.2956,0.094,0.288,0.0262,0.2956,5943.06815,8.20346,16.79254,0.7136,0.2648,0.0216,0.1918,0.5848,0.0148,0.1448,0.1478,0.4566,0.0148,0.1448,1027.95038,10.15802,19.72512,0.9008,0.0928,0.0064,0.0694,0.211,0.0056,0.0488,0.0552,0.1816,0.0056,0.0488,2024.95472,10.12495,19.46454,0.9038,0.0524,0.0438,0.0394,0.1286,0.0284,0.3246,0.0316,0.1028,0.0284,0.3246
229,9573.48387,9.17284,18.07456,0.793,0.16,0.047,0.1698,0.303,0.0548,0.3318,0.1186,0.2392,0.0548,0.3318,7165.31799,8.14976,16.88819,0.7244,0.252,0.0236,0.2534,0.4892,0.0276,0.1608,0.1918,0.4006,0.0276,0.1608,1303.00115,10.14288,19.75755,0.9086,0.084,0.0074,0.0876,0.1722,0.0096,0.0516,0.072,0.1498,0.0096,0.0516,3846.72769,10.05198,19.40426,0.9056,0.045,0.0494,0.0496,0.1024,0.0578,0.3526,0.0386,0.083,0.0578,0.3526
230,9645.70038,9.06695,17.72328,0.7548,0.1804,0.0648,0.1708,0.3102,0.033,0.4096,0.1238,0.2434,0.033,0.4096,8903.78523,8.01264,16.50473,0.6886,0.2794,0.032,0.2574,0.485,0.0176,0.1992,0.1914,0.3944,0.0176,0.1992,2021.04439,10.11749,19.70316,0.8906,0.0976,0.0118,0.0886,0.178,0.0086,0.0684,0.0724,0.1566,0.0086,0.0684,3589.85379,9.89349,18.92022,0.8764,0.0552,0.0684,0.0554,0.1076,0.0344,0.4294,0.0424,0.0902,0.0344,0.4294
231,6948.56786,9.12606,17.92844,0.78,0.1662,0.0538,0.1612,0.3276,0.036,0.3084,0.1164,0.2578,0.036,0.3084,6375.10145,8.09956,16.72646,0.7156,0.257,0.0274,0.247,0.5162,0.019,0.1424,0.1862,0.4196,0.019,0.1424,1567.25179,10.13402,19.72197,0.9002,0.0906,0.0092,0.0884,0.1874,0.0076,0.0508,0.0718,0.1616,0.0076,0.0508,3599.26826,9.99177,19.2473,0.8934,0.0488,0.0578,0.0496,0.1096,0.038,0.3292,0.0394,0.0892,0.038,0.3292
232,6796.28767,9.31928,18.37552,0.8044,0.1558,0.0398,0.1798,0.3082,0.0322,0.327,0.1298,0.2428,0.0322,0.327,7289.44749,8.17603,17.06419,0.7322,0.2458,0.022,0.2752,0.4992,0.0174,0.1686,0.2102,0.4104,0.0174,0.1686,1235.00633,10.15036,19.81079,0.906,0.0874,0.0066,0.0986,0.1834,0.007,0.0576,0.0802,0.159,0.007,0.0576,2839.96901,10.14458,19.53075,0.9126,0.0452,0.0422,0.0562,0.1032,0.0346,0.3468,0.0438,0.0874,0.0346,0.3468
