run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
768,7123.7461,8.51661,16.19228,0.8198,0.1392,0.041,0.1374,0.3076,0.0266,0.3204,0.1034,0.241,0.0266,0.3204,6491.50942,7.60576,15.13478,0.7526,0.2266,0.0208,0.2196,0.4894,0.0146,0.1494,0.166,0.3924,0.0146,0.1494,1023.42007,9.28749,17.35924,0.9244,0.07,0.0056,0.0672,0.1564,0.0056,0.0492,0.053,0.1396,0.0056,0.0492,2485.71181,9.25564,17.16047,0.9186,0.0384,0.043,0.0368,0.1018,0.0286,0.341,0.0308,0.0804,0.0286,0.341
769,5950.41021,8.54758,16.178,0.8274,0.1316,0.041,0.1416,0.2804,0.0362,0.2948,0.1012,0.2248,0.0362,0.2948,6022.28668,7.51163,14.95596,0.7512,0.2276,0.0212,0.2248,0.4852,0.0206,0.1442,0.1738,0.4016,0.0206,0.1442,1130.32486,9.2755,17.32743,0.921,0.0728,0.0062,0.0732,0.159,0.0084,0.0478,0.0598,0.14,0.0084,0.0478,2445.8206,9.25317,17.11525,0.9202,0.0374,0.0424,0.0386,0.0928,0.0386,0.3134,0.0294,0.0782,0.0386,0.3134
770,6864.45066,8.56493,16.19317,0.83,0.1222,0.0478,0.1176,0.2466,0.033,0.2756,0.0894,0.1974,0.033,0.2756,5552.46748,7.72358,15.26821,0.7638,0.2154,0.0208,0.1926,0.444,0.0154,0.1176,0.1558,0.3752,0.0154,0.1176,931.36406,9.30599,17.39768,0.9236,0.0698,0.0066,0.0634,0.148,0.005,0.0402,0.0534,0.1324,0.005,0.0402,1847.36017,9.25371,17.12023,0.9142,0.035,0.0508,0.0286,0.0808,0.0346,0.2904,0.025,0.067,0.0346,0.2904
771,6833.51224,8.23864,15.74807,0.789,0.1662,0.0448,0.1668,0.3564,0.036,0.2554,0.1182,0.2784,0.036,0.2554,5923.79555,7.48069,14.83621,0.7446,0.2352,0.0202,0.2326,0.5124,0.0172,0.119,0.1736,0.405,0.0172,0.119,1050.59303,9.28833,17.37926,0.9192,0.0742,0.0066,0.074,0.1704,0.0066,0.0426,0.0602,0.146,0.0066,0.0426,1881.82379,9.15069,16.94782,0.9092,0.0422,0.0486,0.0456,0.11,0.0388,0.2828,0.0364,0.0902,0.0388,0.2828
772,5640.86834,8.63195,16.22075,0.8322,0.1114,0.0564,0.1216,0.2114,0.0242,0.2726,0.093,0.1766,0.0242,0.2726,5088.48855,7.58458,15.06534,0.7576,0.215,0.0274,0.2176,0.423,0.011,0.123,0.178,0.3638,0.011,0.123,900.72787,9.2945,17.40331,0.919,0.0718,0.0092,0.07,0.148,0.0038,0.0416,0.0604,0.1352,0.0038,0.0416,1923.36759,9.2097,16.98769,0.907,0.0336,0.0594,0.0332,0.0714,0.0254,0.2852,0.027,0.0622,0.0254,0.2852
773,6396.42234,8.5035,16.03432,0.819,0.1344,0.0466,0.1296,0.2586,0.0312,0.2704,0.0948,0.212,0.0312,0.2704,5652.13317,7.57807,14.986,0.7494,0.2298,0.0208,0.2064,0.4598,0.0152,0.1222,0.1642,0.3862,0.0152,0.1222,997.82605,9.28888,17.37315,0.9166,0.0774,0.006,0.0668,0.1568,0.0046,0.0394,0.0572,0.1432,0.0046,0.0394,2486.13699,9.18357,17.00606,0.913,0.0378,0.0492,0.0336,0.089,0.0326,0.2878,0.0274,0.0766,0.0326,0.2878
774,6745.79948,8.82721,16.56424,0.8534,0.103,0.0436,0.11,0.1988,0.0464,0.3002,0.0802,0.1564,0.0464,0.3002,6510.3938,7.55303,15.06901,0.7568,0.2204,0.0228,0.2114,0.4458,0.0244,0.1442,0.1716,0.3872,0.0244,0.1442,1391.25025,9.28682,17.40816,0.918,0.0756,0.0064,0.0742,0.1522,0.0084,0.0458,0.0628,0.1386,0.0084,0.0458,2336.1313,9.27493,17.14472,0.92,0.0346,0.0454,0.0328,0.0748,0.048,0.3112,0.0254,0.0612,0.048,0.3112
775,8529.71421,8.27066,15.78101,0.806,0.1482,0.0458,0.1558,0.328,0.0348,0.2678,0.1124,0.2552,0.0348,0.2678,5878.48042,7.61105,15.15005,0.7574,0.223,0.0196,0.2278,0.4926,0.0166,0.1162,0.1706,0.4028,0.0166,0.1162,829.72166,9.27632,17.38206,0.9194,0.0748,0.0058,0.0772,0.1702,0.005,0.0396,0.064,0.151,0.005,0.0396,2789.36002,9.12319,16.93948,0.9098,0.0416,0.0486,0.0474,0.1072,0.0364,0.2854,0.037,0.0896,0.0364,0.2854
776,6665.30111,8.55713,16.2754,0.8344,0.1212,0.0444,0.1308,0.295,0.0262,0.2876,0.098,0.2336,0.0262,0.2876,5448.48619,7.67564,15.26589,0.778,0.2028,0.0192,0.2146,0.4852,0.013,0.1226,0.1658,0.4012,0.013,0.1226,706.95176,9.31109,17.43789,0.9288,0.0658,0.0054,0.0644,0.1628,0.0044,0.0392,0.0528,0.142,0.0044,0.0392,2580.95868,9.20445,17.0725,0.9202,0.0324,0.0474,0.0342,0.0896,0.0276,0.3032,0.026,0.074,0.0276,0.3032
777,6470.43461,8.62816,16.26094,0.8344,0.1216,0.044,0.1222,0.244,0.0442,0.2606,0.0928,0.1998,0.0442,0.2606,5355.2001,7.6002,15.07791,0.7594,0.2194,0.0212,0.2064,0.451,0.0204,0.122,0.1664,0.3878,0.0204,0.122,1234.93146,9.27113,17.34925,0.9168,0.077,0.0062,0.0766,0.1562,0.008,0.0426,0.063,0.1392,0.008,0.0426,1423.27355,9.22204,17.02143,0.9192,0.0346,0.0462,0.0324,0.0778,0.046,0.2738,0.0262,0.0666,0.046,0.2738
